Groups_name,Groups_html,Groups_Id
"administrators","administrators","ac893b41-7f19-4fb9-8161-c219f7753730"
"atlassian-addons-admin","atlassian-addons-admin","f2e4b7a0-bf07-4cd7-b724-ea776108e3f6"
"confluence-guests-emergingtechnologypartners","confluence-guests-emergingtechnologypartners","91a26298-68cf-471e-9b61-46f0d610d5a3"
"confluence-users","confluence-users","274a2627-0c71-4778-9e90-69634499e548"
"jira-administrators","jira-administrators","d53c9824-c762-4df2-bae0-3333a6429e1c"
"jira-servicedesk-users","jira-servicedesk-users","6fbc0939-b409-4032-9288-5566d80c7d63"
"opsgenie-users","opsgenie-users","3daa55ca-c98e-4e0c-9b0a-4c6f47bf1652"
"site-admins","site-admins","78a64ef2-dd71-48a2-892b-353804c2cf4d"
"system-administrators","system-administrators","1081d842-49a6-4086-a4ea-77baa3e73558"
"trusted-users-85585c6f-f50c-4f1a-8513-cd48b94b66b5","trusted-users-85585c6f-f50c-4f1a-8513-cd48b94b66b5","f0ab0f9f-b5bb-42e0-a528-db95e3a97e00"
