customer_name,customer_name,po,wbs,customer_flag,sap_accountid,material,crm_ref,charge_type
A Lab to Lab Labs,A Lab to Lab Labs,"","",Internal,"","","",""
Ando Insurance,Ando Insurance,"",NND.02804.001,External,1002066,ETP_CLOUD,45595,Consumption
Aroturuki Matariki,Aroturuki Matariki,PO# 112/2650,NND.02632.002,External,1002842,ETP_CLOUD,44995,Consumption
Avanti Finance,Avanti Finance,PO3968,NND.02762.001,External,1002417,ETP_CLOUD,44276,Consumption
BCL,BCL,"","",Internal,"","","",""
Beef + Lamb,Beef + Lamb,"",NND.02815.001,External,1002259,ETP_CLOUD,47764,Consumption
Delegat,Delegat,PO11228204,NND.02544.001,External,1002122,ETP_CLOUD,33215,Consumption
Delegat,Delegat,PO11228204,NND.02544.001,External,1002122,ETP_CLOUD,33215,license & RI
Education Review Office,Education Review Office,PO# 611/2650,NND.02632.001,External,1002637,ETP_CLOUD,40040,Consumption
Electra,Electra,"",NND.02552.001,External,1002040,ETP_CLOUD,35589,Consumption + RI
Employers Manufacturers Association,Employers Manufacturers Association,POR00261,NND.02697.001,External,1002399,ETP_CLOUD,38003,Consumption + RI
Emrge,Emrge,"","",Internal,"","","",""
Framecad,Framecad,"",NND.02538.001,External,1001585,ETP_CLOUD,35231,Consumption
Generate Wealth Kiwisaver,Generate Wealth Kiwisaver,"",NND.02675.001,External,1002585,ETP_CLOUD,36693,Consumption
Ideal Electrical Suppliers Limited,Ideal Electrical Suppliers Limited,"",NND.02986.001,External,1002739,ETP_CLOUD,56039,Consumption
Image Centre Group (Soar Communications Group),Image Centre Group (Soar Communications Group),"",NND.02653.002,External,1002732,ETP_CLOUD,35165,Consumption
Image Centre Group (Soar Communications Group),Image Centre Group (Soar Communications Group),"",NND.02653.002,External,1002732,ETP_CLOUD,35165,license & RI
Infratec Limited,Infratec Limited,"",NND.02898.002,External,1002961,ETP_CLOUD,53714,Consumption
James & Wells (Head Office) Ltd,James & Wells (Head Office) Ltd,"",NND.02761.001,External,1002839,ETP_CLOUD,48076,Consumption
Jarden,Jarden,"",NND.02702.001,External,1002597,ETP_CLOUD,36505,Consumption
Kinetic NZHL,Kinetic NZHL,"",NND.02801.002,External,1002855,ETP_CLOUD,44753,Consumption + RI
KiwiRail,KiwiRail,4710114756,NND.02532.002,External,1000104,ETP_CLOUD,41818,Consumption + RI
Kordia Cyber Academy,Kordia Cyber Academy,"","",Internal,"","","",""
Metlifecare,Metlifecare,POMET000004569,NND.02522.001,External,1001797,ETP_CLOUD,35127,Consumption + RI
Net Express NZ Ltd,Net Express NZ Ltd,"",NND.02530.001,External,1002113,ETP_CLOUD,"",Consumption + RI
Net Express NZ Ltd,Net Express NZ Ltd,"",NND.02530.001,External,1002113,ETP_CLOUD,"",license & RI
NSQR Limited (NZ),NSQR Limited (NZ),"",NND.02806.001,External,1002771,ETP_CLOUD,47868,Consumption
Partners Life,Partners Life,"",NND.02518.001,External,1001048,ETP_CLOUD,32742,Consumption
Plant and Food Research,Plant and Food Research,PFR2116136,NND.02775.001,External,1001881,ETP_CLOUD,41856,Consumption
Plant and Food Research,Plant and Food Research,PFR2116136,NND.02775.001,External,1001881,ETP_CLOUD,41856,license & RI
Radio New Zealand,Radio New Zealand,"",NND.02623.001,External,1000121,ETP_CLOUD,37496,Consumption
Sealink NZ,Sealink NZ,"",NND.02580.001,External,1001352,ETP_CLOUD,36616,Consumption + RI
SecOps NZ Limited,SecOps NZ Limited,"","",Internal,"","","",""
Sentient Software,Sentient Software,"",NND.02813.001,External,1002258,ETP_CLOUD,44948,Consumption
Skyline,Skyline,"",NND.02536.001,External,1001177,ETP_CLOUD,34672,Consumption
Tauranga City Council,Tauranga City Council,4500042010,NND.02542.001,External,1001872,ETP_CLOUD,24478,Consumption
The New Zealand Home Loan Company Limited,The New Zealand Home Loan Company Limited,"",NND.02520.001,External,1001770,ETP_CLOUD,31292,Consumption + RI
